Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Processed,11398,Wed Sep 13 11:46:55 ICT 2023,GET,https://courses.uet.vnu.edu.vn/pluginfile.php/1/theme_lambda/logo/1694577602/logo-new.jpg,200,OK,259,549,50839,Low,false,"SetCookie, Comment"
Processed,11559,Wed Sep 13 11:47:07 ICT 2023,GET,https://courses.uet.vnu.edu.vn/pluginfile.php/1/theme_lambda/logo/1694577602/logo-new.jpg,200,OK,268,549,50839,Low,false,"SetCookie, Comment"
Processed,13174,Wed Sep 13 11:50:08 ICT 2023,GET,https://courses.uet.vnu.edu.vn/lib/javascript.php/1694580604/lib/polyfills/polyfill.js,200,OK,448,490,200103,Low,false,"Script, Comment"
Processed,11996,Wed Sep 13 11:47:37 ICT 2023,GET,https://courses.uet.vnu.edu.vn/theme/styles.php/lambda/1694577602_1/all,200,OK,900,472,879443,Low,false,"Password, Upload, Comment"
Processed,13159,Wed Sep 13 11:50:06 ICT 2023,GET,https://courses.uet.vnu.edu.vn/lib/javascript.php/1694580604/lib/javascript-static.js,200,OK,180,489,21354,Low,false,"Password, Hidden"
Processed,13163,Wed Sep 13 11:50:07 ICT 2023,GET,https://courses.uet.vnu.edu.vn/lib/javascript.php/1694580604/lib/javascript-static.js,200,OK,202,489,21354,Low,false,"Password, Hidden"
Processed,13300,Wed Sep 13 11:50:16 ICT 2023,GET,https://courses.uet.vnu.edu.vn/lib/javascript.php/1694580604/lib/javascript-static.js,200,OK,148,489,21354,Low,false,"Password, Hidden"
Processed,12806,Wed Sep 13 11:49:10 ICT 2023,GET,https://courses.uet.vnu.edu.vn/theme/styles.php/lambda/1694577602_1/all,200,OK,2780,472,879443,Low,false,Password
Processed,12808,Wed Sep 13 11:49:10 ICT 2023,GET,https://courses.uet.vnu.edu.vn/theme/styles.php/lambda/1694577602_1/all,200,OK,2567,472,879443,Low,false,Password
Processed,12914,Wed Sep 13 11:49:29 ICT 2023,GET,https://courses.uet.vnu.edu.vn/theme/styles.php/lambda/1694577602_1/all,200,OK,2145,472,879443,Low,false,Password
Processed,13097,Wed Sep 13 11:49:52 ICT 2023,GET,https://courses.uet.vnu.edu.vn/theme/styles.php/lambda/1694577602_1/all,200,OK,4533,472,879443,Low,false,Password
Processed,13135,Wed Sep 13 11:50:02 ICT 2023,GET,https://courses.uet.vnu.edu.vn/theme/styles.php/lambda/1694577602_1/all,200,OK,1613,472,879443,Low,false,Password
Processed,11490,Wed Sep 13 11:47:01 ICT 2023,GET,https://courses.uet.vnu.edu.vn/lib/ajax/service-nologin.php?info=core_get_string&cachekey=1694577602&args=%5B%7B%22index%22%3A0%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22changesmadereallygoaway%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22moodle%22%2C%22lang%22%3A%22vi%22%7D%7D%5D,200,OK,60,329,235,Low,false,JSON
Processed,11492,Wed Sep 13 11:47:01 ICT 2023,GET,https://courses.uet.vnu.edu.vn/lib/ajax/service-nologin.php?info=core_output_load_template_with_dependencies&cachekey=1694577602&args=%5B%7B%22index%22%3A0%2C%22methodname%22%3A%22core_output_load_template_with_dependencies%22%2C%22args%22%3A%7B%22component%22%3A%22calendar%22%2C%22template%22%3A%22modal_event_form%22%2C%22themename%22%3A%22lambda%22%2C%22lang%22%3A%22vi%22%7D%7D%5D,200,OK,55,330,2177,Low,false,JSON
Processed,11493,Wed Sep 13 11:47:01 ICT 2023,GET,https://courses.uet.vnu.edu.vn/lib/ajax/service-nologin.php?info=core_output_load_template_with_dependencies&cachekey=1694577602&args=%5B%7B%22index%22%3A0%2C%22methodname%22%3A%22core_output_load_template_with_dependencies%22%2C%22args%22%3A%7B%22component%22%3A%22block_recentlyaccesseditems%22%2C%22template%22%3A%22view-cards%22%2C%22themename%22%3A%22lambda%22%2C%22lang%22%3A%22vi%22%7D%7D%5D,200,OK,51,330,1366,Low,false,JSON
Processed,11498,Wed Sep 13 11:47:01 ICT 2023,GET,https://courses.uet.vnu.edu.vn/lib/ajax/service-nologin.php?info=core_get_string&cachekey=1694577602&args=%5B%7B%22index%22%3A0%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22closebuttontitle%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core%22%2C%22lang%22%3A%22vi%22%7D%7D%5D,200,OK,55,328,41,Low,false,JSON
Processed,11500,Wed Sep 13 11:47:01 ICT 2023,GET,https://courses.uet.vnu.edu.vn/lib/ajax/service-nologin.php?info=core_output_load_template_with_dependencies&cachekey=1694577602&args=%5B%7B%22index%22%3A0%2C%22methodname%22%3A%22core_output_load_template_with_dependencies%22%2C%22args%22%3A%7B%22component%22%3A%22block_recentlyaccessedcourses%22%2C%22template%22%3A%22course-card%22%2C%22themename%22%3A%22lambda%22%2C%22lang%22%3A%22vi%22%7D%7D%5D,200,OK,57,330,4244,Low,false,JSON
Processed,11507,Wed Sep 13 11:47:01 ICT 2023,GET,"https://courses.uet.vnu.edu.vn/lib/ajax/service-nologin.php?info=core_get_string,core_get_string,core_get_string,core_get_string,core_get_string&cachekey=1694577602&args=%5B%7B%22index%22%3A0%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22cancel%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core%22%2C%22lang%22%3A%22vi%22%7D%7D%2C%7B%22index%22%3A1%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22savechanges%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core%22%2C%22lang%22%3A%22vi%22%7D%7D%2C%7B%22index%22%3A2%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22showless%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core_form%22%2C%22lang%22%3A%22vi%22%7D%7D%2C%7B%22index%22%3A3%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22showmore%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core_form%22%2C%22lang%22%3A%22vi%22%7D%7D%2C%7B%22index%22%3A4%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22moreevents%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22calendar%22%2C%22lang%22%3A%22vi%22%7D%7D%5D",200,OK,66,329,253,Low,false,JSON
Processed,11508,Wed Sep 13 11:47:01 ICT 2023,GET,https://courses.uet.vnu.edu.vn/lib/ajax/service-nologin.php?info=6-method-calls&cachekey=1694577602&args=%5B%7B%22index%22%3A0%2C%22methodname%22%3A%22core_output_load_template_with_dependencies%22%2C%22args%22%3A%7B%22component%22%3A%22core%22%2C%22template%22%3A%22modal_backdrop%22%2C%22themename%22%3A%22lambda%22%2C%22lang%22%3A%22vi%22%7D%7D%2C%7B%22index%22%3A1%2C%22methodname%22%3A%22core_output_load_template_with_dependencies%22%2C%22args%22%3A%7B%22component%22%3A%22core%22%2C%22template%22%3A%22modal_save_cancel%22%2C%22themename%22%3A%22lambda%22%2C%22lang%22%3A%22vi%22%7D%7D%2C%7B%22index%22%3A2%2C%22methodname%22%3A%22core_output_load_template_with_dependencies%22%2C%22args%22%3A%7B%22component%22%3A%22core%22%2C%22template%22%3A%22modal_cancel%22%2C%22themename%22%3A%22lambda%22%2C%22lang%22%3A%22vi%22%7D%7D%2C%7B%22index%22%3A3%2C%22methodname%22%3A%22core_output_load_template_with_dependencies%22%2C%22args%22%3A%7B%22component%22%3A%22core%22%2C%22template%22%3A%22local%2Fmodal%2Falert%22%2C%22themename%22%3A%22lambda%22%2C%22lang%22%3A%22vi%22%7D%7D%2C%7B%22index%22%3A4%2C%22methodname%22%3A%22core_output_load_template_with_dependencies%22%2C%22args%22%3A%7B%22component%22%3A%22calendar%22%2C%22template%22%3A%22event_delete_modal%22%2C%22themename%22%3A%22lambda%22%2C%22lang%22%3A%22vi%22%7D%7D%2C%7B%22index%22%3A5%2C%22methodname%22%3A%22core_output_load_template_with_dependencies%22%2C%22args%22%3A%7B%22component%22%3A%22core_calendar%22%2C%22template%22%3A%22event_summary_modal%22%2C%22themename%22%3A%22lambda%22%2C%22lang%22%3A%22vi%22%7D%7D%5D,200,OK,97,331,10244,Low,false,JSON
