Processed,Method,URI,Flags
true,GET,http://testphp.vulnweb.com/,Seed
true,GET,http://testphp.vulnweb.com/robots.txt,Seed
true,GET,http://testphp.vulnweb.com/sitemap.xml,Seed
false,GET,https://www.acunetix.com/,Out of Scope
false,GET,https://www.acunetix.com/vulnerability-scanner/,Out of Scope
true,GET,http://testphp.vulnweb.com/index.php,
true,GET,http://testphp.vulnweb.com/categories.php,
true,GET,http://testphp.vulnweb.com/artists.php,
true,GET,http://testphp.vulnweb.com/disclaimer.php,
true,GET,http://testphp.vulnweb.com/cart.php,
true,GET,http://testphp.vulnweb.com/guestbook.php,
true,GET,http://testphp.vulnweb.com/AJAX/index.php,
true,GET,http://testphp.vulnweb.com/login.php,
true,GET,http://testphp.vulnweb.com/userinfo.php,
false,GET,http://www.acunetix.com/,Out of Scope
false,GET,https://www.acunetix.com/vulnerability-scanner/php-security-scanner/,Out of Scope
false,GET,https://www.acunetix.com/blog/articles/prevent-sql-injection-vulnerabilities-in-php-applications/,Out of Scope
false,GET,http://www.eclectasy.com/Fractal-Explorer/index.html,Out of Scope
true,GET,http://testphp.vulnweb.com/privacy.php,
true,GET,http://testphp.vulnweb.com/Mod_Rewrite_Shop/,
true,GET,http://testphp.vulnweb.com/hpp/,
true,GET,http://testphp.vulnweb.com/Flash/add.swf,
true,GET,http://testphp.vulnweb.com/style.css,
false,GET,http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab,Out of Scope
true,GET,http://testphp.vulnweb.com/high,
true,GET,http://testphp.vulnweb.com/images/logo.gif,
false,GET,http://reloads/,Out of Scope
true,POST,http://testphp.vulnweb.com/search.php?test=query,
true,GET,http://testphp.vulnweb.com/listproducts.php?cat=1,
true,GET,http://testphp.vulnweb.com/listproducts.php?cat=2,
true,GET,http://testphp.vulnweb.com/listproducts.php?cat=3,
true,GET,http://testphp.vulnweb.com/listproducts.php?cat=4,
true,GET,http://testphp.vulnweb.com/artists.php?artist=1,
true,GET,http://testphp.vulnweb.com/artists.php?artist=2,
true,GET,http://testphp.vulnweb.com/artists.php?artist=3,
true,GET,http://testphp.vulnweb.com/images/remark.gif,
true,GET,http://testphp.vulnweb.com/hpp/?pp=12,
true,GET,http://testphp.vulnweb.com/signup.php,
false,GET,http://blog.mindedsecurity.com/2009/05/client-side-http-parameter-pollution.html,Out of Scope
true,GET,http://testphp.vulnweb.com/Mod_Rewrite_Shop/Details/network-attached-storage-dlink/1/,
true,GET,http://testphp.vulnweb.com/Mod_Rewrite_Shop/Details/web-camera-a4tech/2/,
true,POST,http://testphp.vulnweb.com/guestbook.php,
true,GET,http://testphp.vulnweb.com/Mod_Rewrite_Shop/Details/color-printer/3/,
true,GET,http://testphp.vulnweb.com/Mod_Rewrite_Shop/images/1.jpg,
true,GET,http://testphp.vulnweb.com/Mod_Rewrite_Shop/images/2.jpg,
true,GET,http://testphp.vulnweb.com/AJAX/styles.css,
true,GET,http://testphp.vulnweb.com/Mod_Rewrite_Shop/images/3.jpg,
true,GET,http://testphp.vulnweb.com/showimage.php?file='%20+%20pict.item(0).firstChild.nodeValue%20+%20',
true,POST,http://testphp.vulnweb.com/userinfo.php,
false,GET,http://www.w3.org/TR/xhtml1/DTD/xhtml1-transitional.dtd,Out of Scope
true,GET,http://testphp.vulnweb.com/product.php?pic=1,
true,GET,http://testphp.vulnweb.com/showimage.php?file=./pictures/1.jpg,
true,GET,http://testphp.vulnweb.com/product.php?pic=6,
true,GET,http://testphp.vulnweb.com/product.php?pic=2,
true,GET,http://testphp.vulnweb.com/showimage.php?file=./pictures/6.jpg,
true,GET,http://testphp.vulnweb.com/showimage.php?file=./pictures/2.jpg,
true,GET,http://testphp.vulnweb.com/product.php?pic=3,
true,GET,http://testphp.vulnweb.com/showimage.php?file=./pictures/3.jpg,
true,GET,http://testphp.vulnweb.com/product.php?pic=4,
true,GET,http://testphp.vulnweb.com/showimage.php?file=./pictures/4.jpg,
true,GET,http://testphp.vulnweb.com/product.php?pic=5,
true,GET,http://testphp.vulnweb.com/showimage.php?file=./pictures/5.jpg,
true,GET,http://testphp.vulnweb.com/product.php?pic=7,
true,GET,http://testphp.vulnweb.com/showimage.php?file=./pictures/6.jpg&size=160,
true,GET,http://testphp.vulnweb.com/showimage.php?file=./pictures/7.jpg,
true,GET,http://testphp.vulnweb.com/showimage.php?file=./pictures/1.jpg&size=160,
true,GET,http://testphp.vulnweb.com/showimage.php?file=./pictures/2.jpg&size=160,
true,GET,http://testphp.vulnweb.com/showimage.php?file=./pictures/3.jpg&size=160,
true,GET,http://testphp.vulnweb.com/showimage.php?file=./pictures/4.jpg&size=160,
true,GET,http://testphp.vulnweb.com/showimage.php?file=./pictures/5.jpg&size=160,
true,GET,http://testphp.vulnweb.com/showimage.php?file=./pictures/7.jpg&size=160,
true,GET,http://testphp.vulnweb.com/listproducts.php?artist=3,
true,POST,http://testphp.vulnweb.com/cart.php,
true,GET,http://testphp.vulnweb.com/listproducts.php?artist=2,
true,GET,http://testphp.vulnweb.com/listproducts.php?artist=1,
true,GET,http://testphp.vulnweb.com/Mod_Rewrite_Shop/BuyProduct-1/,
true,GET,http://testphp.vulnweb.com/Mod_Rewrite_Shop/RateProduct-1.html,
true,GET,http://testphp.vulnweb.com/Mod_Rewrite_Shop/BuyProduct-3/,
true,GET,http://testphp.vulnweb.com/hpp/params.php?p=valid&pp=12,
true,GET,http://testphp.vulnweb.com/Mod_Rewrite_Shop/RateProduct-3.html,
true,GET,http://testphp.vulnweb.com/Mod_Rewrite_Shop/BuyProduct-2/,
true,GET,http://testphp.vulnweb.com/Mod_Rewrite_Shop/RateProduct-2.html,
true,POST,http://testphp.vulnweb.com/secured/newuser.php,
true,POST,http://testphp.vulnweb.com/cart.php,
true,POST,http://testphp.vulnweb.com/cart.php,
true,POST,http://testphp.vulnweb.com/cart.php,
true,POST,http://testphp.vulnweb.com/cart.php,
true,POST,http://testphp.vulnweb.com/cart.php,
true,POST,http://testphp.vulnweb.com/cart.php,
true,GET,http://testphp.vulnweb.com/secured/style.css,
false,GET,http://www.w3.org/TR/html4/loose.dtd,Out of Scope
